Unnamed: 0;ancienne_classe_risque;classe_risque_actuelle;anciennete;sexe_rec;situation_contractuelle;convention;employeur_client;rupture_revenu;duree_sommeil;max_credit;min_debit;nbr_mvt_credit;nbr_mvt_debit;nbr_open_comptes;nbr_closed_comptes;nbr_abonnements;nbr_placements_actifs;nbr_placements_echus;nbr_open_engagements;solde_moyen_mensuel;Engagement_Secteur;anciennete_dern_eng_anticip;sortie_risque;revenu_mensuel_y
11225;2;3;1;0;2;0;1;0;85;600;-600;6;29;1;0;0;0;0;0;-4.753;0;0;0;300
11226;3;1;1;0;5;0;0;0;85;35;-19.081;1;17;2;0;0;0;0;0;-30.706;0;0;1;2.916666
11235;2;3;1;0;2;0;1;0;85;600;-600;7;27;1;0;0;0;0;0;-24.623;0;0;0;301.666666
11236;3;1;1;1;1;0;1;0;85;708.118;-1600;1;20;1;0;1;0;0;0;-508.503;0;0;1;59.009833
11237;4;5;1;1;4;0;0;0;85;1754.715;-1270;5;56;2;0;0;0;0;0;116.109;0;13;0;658.442583
11238;3;1;1;1;1;0;1;0;85;1000;-600;2;22;1;0;1;0;0;0;13.283;0;0;1;166.666666
11239;4;1;1;1;1;0;1;0;85;1000;-600;2;22;1;0;1;0;0;0;13.283;0;0;1;166.666666
11242;4;1;1;1;5;0;0;0;85;0;-17.85;0;4;1;0;0;0;0;0;29.79;0;0;1;450
11245;4;1;1;0;5;0;0;0;85;1000;-201.6;1;21;1;0;1;0;0;0;388.334;0;0;1;83.333333
11258;4;1;1;0;3;0;0;0;85;2596;-1000;1;21;1;0;1;0;0;0;366.036;0;0;1;216.333333
11266;4;1;1;1;1;0;1;0;85;0;-41.65;0;9;1;0;0;0;0;0;-38.033;0;0;1;450
11267;2;1;1;0;1;0;0;0;85;570.728;-340;9;77;1;0;1;0;0;0;-219.07;0;0;1;223.813583
11268;4;1;1;1;2;0;0;0;1;40000;-14800;5;131;1;0;3;0;0;0;6876.685;0;0;1;3379.083333
11269;4;1;1;1;5;0;0;0;85;0;-20000;0;16;2;0;2;0;0;0;598.973;0;0;1;450
11272;4;1;1;0;1;0;0;0;5;447;-297.967;12;59;2;0;0;0;0;0;667;0;14;1;447
11273;2;1;1;0;5;0;0;0;85;600;-600;7;22;1;0;1;0;0;0;75.569;0;0;1;350
11274;4;5;1;0;5;0;0;0;29;1250;-293.6;8;132;1;0;2;0;0;0;-4263.949;0;0;0;450
11276;4;1;1;1;6;0;0;0;85;0;-200;0;9;1;0;1;0;0;0;74.427;0;0;1;450
11277;4;1;1;1;1;0;0;0;28;260;-219.66;3;73;1;0;1;0;0;0;-1974.995;0;0;1;50.833333
11279;3;1;1;1;5;0;0;0;85;300;-250;1;14;2;0;2;0;0;0;53.854;0;0;1;25
11280;4;1;1;1;5;0;0;0;85;300;-250;1;14;2;0;2;0;0;0;53.854;0;0;1;25
11283;2;3;1;1;1;0;0;0;15;1950;-1600;9;80;2;0;1;0;0;0;-1807.882;0;0;0;522.5
11284;3;3;1;1;1;0;0;0;15;1950;-1600;9;80;2;0;1;0;0;0;-1807.882;0;0;0;522.5
11285;2;0;26;1;5;0;0;0;11;500;-475.578;41;174;1;0;1;0;0;2;-351.979;0;0;1;576.9125
11286;4;1;1;1;1;0;1;0;85;0;-41.65;0;9;1;0;1;0;0;0;-111.985;0;0;1;450
11288;4;1;1;0;5;0;0;0;85;0;-19.374;0;7;2;0;0;0;0;0;-35.509;0;0;1;450
11291;4;1;1;1;1;0;1;0;85;0;-20.41;0;16;1;0;2;0;0;0;-61.733;0;0;1;450
11292;4;1;1;1;1;0;0;0;85;0;-60.049;0;9;1;0;1;0;0;0;-1137.452;0;0;1;450
11293;2;1;1;1;5;0;0;0;85;330;-203.937;3;14;1;0;1;0;0;0;-4942.43;0;0;1;65
11295;3;1;1;0;2;0;0;0;85;433.969;-402.2;2;21;1;0;2;0;0;0;-47.82;0;0;1;48.3685
11296;4;1;1;0;2;0;0;0;85;433.969;-402.2;2;21;1;0;2;0;0;0;-47.82;0;0;1;48.3685
11297;4;5;1;1;5;0;0;0;85;0;-1000;0;11;1;0;0;0;0;0;-1585.649;0;0;0;450
11298;4;1;1;0;1;0;0;0;85;0;-20.12;0;17;1;0;3;0;0;0;-53.809;0;0;1;450
11299;4;1;1;0;1;0;0;0;85;1000;-201.6;1;17;1;0;1;0;0;0;392.217;0;0;1;83.333333
11300;4;1;1;0;1;0;0;0;85;0;-20;0;7;1;0;1;0;0;0;-26.09;0;0;1;450
11301;3;1;1;1;5;0;0;0;85;1000;-500;1;9;1;0;1;0;0;0;273.951;0;0;1;83.333333
11302;2;1;1;1;5;0;0;0;85;340;-150;2;28;1;0;2;0;0;0;-18.379;0;0;1;40.833333
11303;2;1;1;1;1;0;0;0;85;0;-51.15;0;12;1;0;1;0;0;0;-202.65;0;0;1;450
11304;4;1;1;1;1;0;0;0;85;0;-51.15;0;12;1;0;1;0;0;0;-202.65;0;0;1;450
11306;2;1;1;1;1;0;1;0;4;700;-700;13;109;1;0;1;0;0;0;-1235.991;0;0;1;585
11307;2;1;1;1;1;0;0;0;41;341.062;-300;4;31;1;0;4;0;0;0;-247.413;0;0;1;67.556
11308;3;1;1;1;5;0;0;0;85;690;-680;1;9;1;0;0;0;0;0;120.368;0;0;1;57.5
11309;4;1;1;1;2;0;0;0;85;294.744;-250;3;29;1;0;2;0;0;0;-199.837;0;0;1;56.4515
11311;3;1;1;1;1;0;0;0;85;327.615;-310;1;10;1;0;0;0;0;0;-20.252;0;0;1;27.30125
11314;2;1;1;0;5;0;0;0;85;47000;-19300;10;84;1;0;3;0;0;0;3683.967;0;0;1;16308.33333
11315;3;1;1;0;5;0;0;0;85;47000;-19300;10;84;1;0;3;0;0;0;3683.967;0;0;1;16308.33333
11319;2;1;1;1;5;0;0;0;12;400;-89.921;2;12;1;0;1;0;0;0;-1830.137;0;0;1;50
11320;4;1;1;1;5;0;0;0;12;400;-89.921;2;12;1;0;1;0;0;0;-1830.137;0;0;1;50
11321;4;1;1;0;5;0;0;0;85;0;-20.073;0;8;1;0;0;0;0;0;-54.777;0;0;1;450
11323;4;1;1;1;2;0;0;0;85;0;-20.108;0;8;1;0;1;0;0;0;-55.8;0;0;1;450
11327;3;1;1;0;5;0;0;0;8;3100;-2700;24;32;2;1;0;0;0;0;2231.287;0;0;1;583.746666
11328;4;1;1;1;2;0;0;0;85;100;-101.3;3;17;1;0;1;0;0;0;11.566;0;0;1;19.722166
11329;3;1;1;1;2;0;0;0;85;100;-101.3;3;17;1;0;1;0;0;0;11.566;0;0;1;19.722166
11330;4;1;1;1;2;0;0;0;85;0;-20.901;0;17;1;0;2;0;0;0;-75.418;0;0;1;450
11332;4;1;1;1;1;0;0;0;85;0;-45.152;0;14;1;0;2;0;0;0;-737.714;0;0;1;450
11334;4;1;1;1;1;0;0;0;85;0;-19.429;0;8;1;0;0;0;0;0;-37.033;0;0;1;450
11336;3;4;1;1;1;0;0;0;27;502.485;-300;6;65;1;0;0;0;0;0;-24.262;0;0;0;195.535083
11337;4;1;1;1;2;0;0;0;68;0;-800;0;27;1;0;3;0;0;0;1305.374;0;0;1;450
11338;4;1;1;0;4;0;0;0;85;0;-18.862;0;7;1;0;0;0;0;0;-21.357;0;0;1;450
11339;2;0;1;0;4;0;0;0;4;468.133;-540;12;95;1;0;0;0;0;0;-483.701;0;0;1;432.103166
11340;2;1;1;1;1;0;0;0;1;1360;-295.775;10;90;1;0;2;0;0;0;5.087;0;0;1;450.833333
11341;4;1;1;1;1;0;0;0;85;500;-301.9;4;29;1;0;1;0;0;0;-384.234;0;0;1;148.655583
11343;3;4;1;1;1;0;1;0;85;100;-22.945;1;8;1;0;0;0;0;0;-86.734;0;0;0;8.333333
11344;3;1;1;0;2;0;0;0;85;517;-736;3;22;1;0;1;0;0;0;-11.377;0;0;1;91.666666
11345;4;1;1;0;2;0;0;0;85;517;-736;3;22;1;0;1;0;0;0;-11.377;0;0;1;91.666666
11346;4;1;1;1;5;0;0;0;85;0;-20.055;0;17;1;1;1;0;0;0;-53.321;0;0;1;450
11347;2;1;1;1;2;0;1;0;85;605.502;-600;7;50;1;0;2;0;0;0;-367.967;0;0;1;308.8755
11348;3;1;1;1;2;0;1;0;85;605.502;-600;7;50;1;0;2;0;0;0;-367.967;0;0;1;308.8755
11349;2;1;1;1;6;0;0;0;85;510;-201.6;4;32;1;0;2;0;0;0;116.562;0;0;1;92.916666
11352;4;1;1;0;1;0;0;0;85;0;-19.458;0;8;1;0;0;0;0;0;-37.82;0;0;1;450
11354;3;1;1;0;1;0;0;0;85;100;-90;3;14;1;0;0;0;0;0;-11.848;0;0;1;20.5555
11355;3;1;1;1;1;0;0;0;85;10192;-10200;3;14;1;0;0;0;0;0;2.556;0;0;1;979.673083
11356;3;1;1;0;1;0;1;0;85;300;-285;2;11;1;0;0;0;0;0;0.926;0;0;1;33.333333
11362;3;1;1;1;1;0;0;0;60;752;-240;12;141;1;0;2;0;0;0;-88.272;0;0;1;367.422833
11363;2;1;1;1;1;0;0;0;60;752;-240;12;141;1;0;2;0;0;0;-88.272;0;0;1;367.422833
11364;2;1;1;1;1;0;0;0;85;800;-550;3;51;1;0;3;0;0;0;15.48;0;0;1;200
11365;4;1;1;0;5;0;0;0;85;1200;-1200;11;36;1;0;2;0;0;0;-25.301;0;0;1;804.166666
11366;3;4;1;0;2;0;0;0;85;500;-490;2;11;1;0;0;0;0;0;-9.492;0;0;0;83.333333
11369;2;0;1;1;5;0;0;0;85;820;-800;6;20;1;0;0;0;0;0;122.323;0;0;1;338.333333
11370;2;1;1;1;1;0;1;0;85;470;-243;6;46;1;0;2;0;0;0;-263.143;0;0;1;187.217916
11371;3;1;1;1;1;0;1;0;85;470;-243;6;46;1;0;2;0;0;0;-263.143;0;0;1;187.217916
